agegrp,node,start,fromcond,tocond,pr,next
4,"(1,1)",5,nil,mild,0.75,"(2,2)"
4,"(1,1)",5,nil,sick,0.25,"(2,3)"
4,"(2,2)",9,mild,mild,1.0,"(3,2)"
4,"(2,3)",9,sick,sick,0.75,"(3,3)"
4,"(2,3)",9,sick,severe,0.25,"(3,4)"
4,"(3,2)",14,mild,recovered,1.0,"(0,0)"
4,"(3,3)",14,sick,recovered,0.75,"(0,0)"
4,"(3,3)",14,sick,severe,0.25,"(4,4)"
4,"(3,4)",14,severe,recovered,0.125,"(0,0)"
4,"(3,4)",14,severe,severe,0.75,"(4,4)"
4,"(3,4)",14,severe,dead,0.125,"(0,5)"
4,"(4,4)",19,severe,recovered,0.8,"(0,0)"
4,"(4,4)",19,severe,dead,0.2,"(0,5)"
