agegrp,node,start,fromcond,tocond,pr,next
1,"(1,1)",5,nil,nil,0.4,"(2,1)"
1,"(1,1)",5,nil,mild,0.5,"(2,2)"
1,"(1,1)",5,nil,sick,0.1,"(2,3)"
1,"(2,1)",9,nil,recovered,0.9,"(0,0)"
1,"(2,1)",9,nil,sick,0.1,"(3,3)"
1,"(2,2)",9,mild,mild,1,"(3,2)"
1,"(2,3)",9,sick,sick,0.95,"(3,3)"
1,"(2,3)",9,sick,severe,0.05,"(3,4)"
1,"(3,2)",14,mild,recovered,1,"(0,0)"
1,"(3,3)",14,sick,recovered,0.85,"(0,0)"
1,"(3,3)",14,sick,sick,0.12,"(5,3)"
1,"(3,3)",14,sick,severe,0.03,"(4,4)"
1,"(3,4)",14,severe,recovered,0.692,"(0,0)"
1,"(3,4)",14,severe,severe,0.302,"(4,4)"
1,"(3,4)",14,severe,dead,0.006,"(0,5)"
1,"(4,4)",19,severe,recovered,0.891,"(0,0)"
1,"(4,4)",19,severe,severe,0.106,"(5,4)"
1,"(4,4)",19,severe,dead,0.003,"(0,5)"
1,"(5,3)",25,sick,recovered,0.976,"(0,0)"
1,"(5,3)",25,sick,dead,0.024,"(0,5)"
1,"(5,4)",25,severe,recovered,0.91,"(0,0)"
1,"(5,4)",25,severe,dead,0.09,"(0,5)"
2,"(1,1)",5,nil,nil,0.2,"(2,1)"
2,"(1,1)",5,nil,mild,0.7,"(2,2)"
2,"(1,1)",5,nil,sick,0.1,"(2,3)"
2,"(2,1)",9,nil,recovered,0.85,"(0,0)"
2,"(2,1)",9,nil,sick,0.15,"(3,3)"
2,"(2,2)",9,mild,mild,1,"(3,2)"
2,"(2,3)",9,sick,sick,0.9,"(3,3)"
2,"(2,3)",9,sick,severe,0.1,"(3,4)"
2,"(3,2)",14,mild,recovered,1,"(0,0)"
2,"(3,3)",14,sick,recovered,0.83,"(0,0)"
2,"(3,3)",14,sick,sick,0.1,"(5,3)"
2,"(3,3)",14,sick,severe,0.07,"(4,4)"
2,"(3,4)",14,severe,recovered,0.474,"(0,0)"
2,"(3,4)",14,severe,severe,0.514,"(4,4)"
2,"(3,4)",14,severe,dead,0.012,"(0,5)"
2,"(4,4)",19,severe,recovered,0.922,"(0,0)"
2,"(4,4)",19,severe,severe,0.072,"(5,4)"
2,"(4,4)",19,severe,dead,0.006,"(0,5)"
2,"(5,3)",25,sick,recovered,0.964,"(0,0)"
2,"(5,3)",25,sick,dead,0.036,"(0,5)"
2,"(5,4)",25,severe,recovered,0.964,"(0,0)"
2,"(5,4)",25,severe,dead,0.036,"(0,5)"
3,"(1,1)",5,nil,nil,0.2,"(2,1)"
3,"(1,1)",5,nil,mild,0.7,"(2,2)"
3,"(1,1)",5,nil,sick,0.1,"(2,3)"
3,"(2,1)",9,nil,recovered,0.9,"(0,0)"
3,"(2,1)",9,nil,sick,0.1,"(3,3)"
3,"(2,2)",9,mild,mild,1,"(3,2)"
3,"(2,3)",9,sick,sick,0.9,"(3,3)"
3,"(2,3)",9,sick,severe,0.1,"(3,4)"
3,"(3,2)",14,mild,recovered,0.9,"(0,0)"
3,"(3,2)",14,mild,sick,0.1,"(5,3)"
3,"(3,3)",14,sick,recovered,0.85,"(0,0)"
3,"(3,3)",14,sick,sick,0.14,"(5,3)"
3,"(3,3)",14,sick,severe,0.01,"(4,4)"
3,"(3,4)",14,severe,recovered,0.776,"(0,0)"
3,"(3,4)",14,severe,severe,0.206,"(4,4)"
3,"(3,4)",14,severe,dead,0.018,"(0,5)"
3,"(4,4)",19,severe,recovered,0.856,"(0,0)"
3,"(4,4)",19,severe,severe,0.126,"(5,4)"
3,"(4,4)",19,severe,dead,0.018,"(0,5)"
3,"(5,3)",25,sick,recovered,0.958,"(0,0)"
3,"(5,3)",25,sick,dead,0.042,"(0,5)"
3,"(5,4)",25,severe,recovered,0.958,"(0,0)"
3,"(5,4)",25,severe,dead,0.042,"(0,5)"
4,"(1,1)",5,nil,nil,0.15,"(2,1)"
4,"(1,1)",5,nil,mild,0.6,"(2,2)"
4,"(1,1)",5,nil,sick,0.25,"(2,3)"
4,"(2,1)",9,nil,recovered,0.62,"(0,0)"
4,"(2,1)",9,nil,sick,0.38,"(3,3)"
4,"(2,2)",9,mild,mild,1,"(3,2)"
4,"(2,3)",9,sick,sick,0.78,"(3,3)"
4,"(2,3)",9,sick,severe,0.22,"(3,4)"
4,"(3,2)",14,mild,recovered,1,"(0,0)"
4,"(3,3)",14,sick,recovered,0.8,"(0,0)"
4,"(3,3)",14,sick,sick,0.1,"(5,3)"
4,"(3,3)",14,sick,severe,0.1,"(4,4)"
4,"(3,4)",14,severe,recovered,0.165,"(0,0)"
4,"(3,4)",14,severe,severe,0.715,"(4,4)"
4,"(3,4)",14,severe,dead,0.12,"(0,5)"
4,"(4,4)",19,severe,recovered,0.81,"(0,0)"
4,"(4,4)",19,severe,severe,0.13,"(5,4)"
4,"(4,4)",19,severe,dead,0.06,"(0,5)"
4,"(5,3)",25,sick,recovered,0.76,"(0,0)"
4,"(5,3)",25,sick,dead,0.24,"(0,5)"
4,"(5,4)",25,severe,recovered,0.688,"(0,0)"
4,"(5,4)",25,severe,dead,0.312,"(0,5)"
5,"(1,1)",5,nil,nil,0.1,"(2,1)"
5,"(1,1)",5,nil,mild,0.5,"(2,2)"
5,"(1,1)",5,nil,sick,0.4,"(2,3)"
5,"(2,1)",9,nil,recovered,0.5,"(0,0)"
5,"(2,1)",9,nil,sick,0.5,"(3,3)"
5,"(2,2)",9,mild,mild,0.4,"(3,2)"
5,"(2,2)",9,mild,sick,0.6,"(3,3)"
5,"(2,3)",9,sick,sick,0.6,"(3,3)"
5,"(2,3)",9,sick,severe,0.4,"(3,4)"
5,"(3,2)",14,mild,recovered,0.7,"(0,0)"
5,"(3,2)",14,mild,sick,0.3,"(5,3)"
5,"(3,3)",14,sick,recovered,0.7,"(0,0)"
5,"(3,3)",14,sick,sick,0.1,"(5,3)"
5,"(3,3)",14,sick,severe,0.2,"(4,4)"
5,"(3,4)",14,severe,recovered,0.12,"(0,0)"
5,"(3,4)",14,severe,severe,0.67,"(4,4)"
5,"(3,4)",14,severe,dead,0.21,"(0,5)"
5,"(4,4)",19,severe,recovered,0.49,"(0,0)"
5,"(4,4)",19,severe,severe,0.24,"(5,4)"
5,"(4,4)",19,severe,dead,0.27,"(0,5)"
5,"(5,3)",25,sick,recovered,0.682,"(0,0)"
5,"(5,3)",25,sick,dead,0.318,"(0,5)"
5,"(5,4)",25,severe,recovered,0.676,"(0,0)"
5,"(5,4)",25,severe,dead,0.324,"(0,5)"
